SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
741GS2036,GS,105,105.6,105,105.6,105.6,105.12,987,103675.2,18-MAY-2024,2,IN0020220102,
753IRFC30,NJ,1150.01,1150.01,1150.01,1150.01,1150.01,1151,1,1150.01,18-MAY-2024,1,INE053F07835,
754GS2036,GS,107.04,107.15,106.25,107.13,107.1,107.03,113451,12149055.28,18-MAY-2024,94,IN0020220029,
764HUDCO31,N8,1140,1140,1140,1140,1140,1143.84,1,1140,18-MAY-2024,1,INE031A07AO5,
769NHAI31,NE,1167.2,1167.2,1167.2,1167.2,1167.2,1168.03,1,1167.2,18-MAY-2024,1,INE906B07EP5,
76NHAI31,NA,1127.1,1127.1,1127.1,1127.1,1127.1,1129.06,1,1127.1,18-MAY-2024,1,INE906B07EJ8,
79NHIT47,N3,406,409,404.5,409,409,407.4,1072,436798.89,18-MAY-2024,7,INE0H7R07033,
829LTF24,NL,998.5,998.5,998,998,998,998.5,5,4991,18-MAY-2024,3,INE027E07BA2,
82GS2025,GS,106.6,106.6,106.6,106.6,106.6,104,1,106.6,18-MAY-2024,1,IN0020120047,
82HUDCO27,N2,1089.5,1091,1089.5,1090.32,1091,1091,47,51245.5,18-MAY-2024,2,INE031A07840,
82IGT31,NJ,1000,1000,1000,1000,1000,1000,40,40000,18-MAY-2024,2,INE219X07264,
82IHFL24,NO,1233.6,1233.6,1233.6,1233.6,1233.6,1233.67,27,33307.2,18-MAY-2024,1,INE148I07KJ9,
849NTPC25,N7,5.18,5.23,5.12,5.17,5.17,5.17,22976,118958.64,18-MAY-2024,18,INE733E07JP6,
850NHAI29,N5,1168.5,1168.5,1168.5,1168.5,1168.5,1140,10,11685,18-MAY-2024,1,INE906B07DE1,
85IIFL25,NO,1001,1001,1001,1001,1001,1000,10,10010,18-MAY-2024,1,INE530B07252,
865IFL28,NZ,914.8,914.8,910,910,910,903.35,30,27396,18-MAY-2024,2,INE530B07385,
865IRFC29,NA,1150,1150,1150,1150,1150,1155,1,1150,18-MAY-2024,1,INE053F07686,
86LTF24,NJ,1030.01,1030.01,1030.01,1030.01,1030.01,1030.01,5,5150.05,18-MAY-2024,1,INE027E07AY4,
875IIFL26A,NQ,985.8,985.8,985.8,985.8,985.8,978,10,9858,18-MAY-2024,1,INE530B07294,
875NHAI29,N6,1179.9,1202.88,1179.9,1202.88,1202.88,1173.55,10,11916.1,18-MAY-2024,7,INE906B07DF8,
885MOFSL26,N0,995,995,982.1,982.1,982.1,999.86,30,29592,18-MAY-2024,4,INE338I07131,
888IHFL25C,NR,980,980,980,980,980,980,15,14700,18-MAY-2024,1,INE244L07432,
888IRFC29,NE,1160.67,1160.67,1160.67,1160.67,1160.67,1160.67,5,5803.35,18-MAY-2024,1,INE053F07744,
891IIFCL34,N4,1298.5,1298.5,1277.6,1277.6,1277.6,1277.05,50,64402.5,18-MAY-2024,2,INE787H07370,
892NHPC33,N6,1265,1265,1265,1265,1265,1299,1,1265,18-MAY-2024,1,INE848E07567,
893NHB29,N6,5850,5850,5849.97,5849.97,5849.97,5849.99,52,304199.94,18-MAY-2024,3,INE557F07181,
894IHFL25,Z3,1110,1110,1110,1110,1110,1100,6,6660,18-MAY-2024,1,INE148I07MF3,
8ABFL26,N0,1000.57,1026,1000.57,1026,1026,1026.22,20,20265.7,18-MAY-2024,2,INE860H07IQ0,
91D040724,TB,99,99,99,99,99,99,100,9900,18-MAY-2024,1,IN002024X011,
91D080824,TB,98.04,98.04,98.04,98.04,98.04,98.28,100,9804,18-MAY-2024,1,IN002024X078,
91D120724,TB,98.82,98.82,98.82,98.82,98.82,98.82,100,9882,18-MAY-2024,1,IN002024X029,
91D130624,TB,99.33,99.35,99.33,99.34,99.33,99.33,300,29801,18-MAY-2024,3,IN002023X534,
91D190724,TB,98.5,98.5,98.5,98.5,98.5,98.49,600,59100,18-MAY-2024,2,IN002024X037,
91D270624,TB,99,99,98.9,98.9,98.9,99.01,1100,108804,18-MAY-2024,4,IN002023X559,
